timestamp_utc,platform,total_discovered,included,excluded,skipped
2026-07-17T23:30:51Z,HackerOne,590,236,354,0
2026-07-18T00:14:57Z,Intigriti,209,86,123,0
2026-07-18T00:25:08Z,YesWeHack,63,16,47,0
2026-07-18T02:05:07Z,Bugcrowd,240,209,31,0
2026-07-20T14:02:38Z,HackerOne,590,238,351,1
2026-07-20T14:22:04Z,Intigriti,209,69,124,16
2026-07-20T14:27:04Z,YesWeHack,63,10,46,7
2026-07-20T15:26:17Z,Bugcrowd,239,110,20,109
2026-07-22T13:33:53Z,HackerOne,591,240,351,0
2026-07-22T14:33:49Z,Intigriti,209,85,124,0
2026-07-22T14:40:06Z,YesWeHack,62,16,46,0
2026-07-22T16:42:11Z,Bugcrowd,239,213,26,0
2026-07-22T18:36:12Z,HackerOne,590,239,350,1
2026-07-22T18:38:45Z,Intigriti,210,86,124,0
2026-07-22T18:39:54Z,YesWeHack,62,16,46,0
2026-07-22T18:49:46Z,Bugcrowd,240,214,26,0
2026-07-23T08:18:24Z,HackerOne,590,240,350,0
2026-07-23T08:20:26Z,Intigriti,210,86,124,0
2026-07-23T08:21:32Z,YesWeHack,62,16,46,0
2026-07-23T08:25:51Z,Bugcrowd,240,214,26,0
